id,市区町村,都道府県,面積(km2),経度,緯度
2039,三戸郡三戸町,青森県,151.79,141.17552,40.37702
2040,Takko,青森県,241.45,141.04992,40.30901
2041,Hashikami,青森県,93.82,141.58411,40.43041
3001,岩手郡岩手町,岩手県,359.95,141.26595,39.95338
3002,釜石市,岩手県,442.0,141.79841,39.28745
3003,二戸市,岩手県,419.95,141.19578,40.23798
3004,,岩手県,69.35,141.86679,40.00262
3005,気仙郡住田町,岩手県,334.57,141.55045,39.18013
3006,紫波郡紫波町,岩手県,238.51,141.15895,39.54845
3007,紫波郡矢巾町,岩手県,67.19,141.12422,39.61147
3008,,岩手県,299.67,141.27911,40.14279
3009,上閉伊郡大槌町,岩手県,200.17,141.814,39.42608
3010,九戸郡軽米町,岩手県,245.76,141.48894,40.30357
3011,九戸郡野田村,岩手県,83.81,141.79521,40.06885
3012,西磐井郡平泉町,岩手県,63.72,141.10399,38.98888
3013,Kanegasaki,岩手県,173.22,141.01803,39.19392
3014,滝沢市,岩手県,182.38,141.07259,39.79035
3015,下閉伊郡山田町,岩手県,262.47,141.90708,39.48437
3016,,岩手県,133.84,141.43353,40.19619
3017,Tanohara,岩手県,155.97,141.87317,39.92472
3018,九戸郡洋野町,岩手県,302.45,141.67126,40.32633
3019,奥州市,岩手県,998.2,141.09478,39.12963
3020,和賀郡西和賀町,岩手県,590.08,140.79069,39.39079
3021,盛岡市,岩手県,885.49,141.2691,39.74546
3022,八幡平市,岩手県,861.29,140.9911,40.02386
3023,下閉伊郡岩泉町,岩手県,988.72,141.6765,39.84874
3024,久慈市,岩手県,622.85,141.65916,40.14363
3025,陸前高田市,岩手県,231.04,141.57683,39.04104
3026,北上市,岩手県,437.46,141.00787,39.30764
3027,遠野市,岩手県,825.4,141.5093,39.36479
3028,岩手郡雫石町,岩手県,608.3,140.91329,39.70388
3029,大船渡市,岩手県,320.49,141.75008,39.10703
3030,,岩手県,434.36,141.43941,40.0067
3031,宮古市,岩手県,1258.06,141.72549,39.62938
3032,花巻市,岩手県,907.94,141.16756,39.44188
3033,一関市,岩手県,1255.96,141.22975,38.94507
4001,東松島市,宮城県,101.4,141.17912,38.41683
4002,角田市,宮城県,147.19,140.77896,37.98831
4003,栗原市,宮城県,804.29,140.94032,38.80897
4004,登米市,宮城県,535.75,141.25738,38.68583
4005,大崎市,宮城県,796.5,140.84657,38.68014
4006,白石市,宮城県,286.42,140.57941,37.99687
4007,Shichikashuku,宮城県,262.56,140.40599,38.01753
4008,刈田郡蔵王町,宮城県,155.36,140.59127,38.10647
4009,気仙沼市,宮城県,332.33,141.53243,38.87645
4010,加美郡加美町,宮城県,460.28,140.69693,38.59418
4011,加美郡色麻町,宮城県,109.31,140.77959,38.52029
4012,Sendai,宮城県,785.79,140.74822,38.30371
4013,柴田郡川崎町,宮城県,266.33,140.59138,38.19861
4014,本吉郡南三陸町,宮城県,163.36,141.45194,38.68475
4015,Taiwa,宮城県,225.14,140.81841,38.43289
4016,黒川郡大衡村,宮城県,60.3,140.87165,38.47985
4017,伊具郡丸森町,宮城県,273.45,140.75532,37.87349
4018,Watari,宮城県,73.55,140.87421,38.04125
